Category,Difficulty,Question,Retrieved Chunk IDs,Relevant Chunk IDs,# Relevant in Top 5,Total Relevant Chunks,Recall @ 5,Precision @ 5,HitRate @ 5
Calendar,Easy,When does Spring 2026 semester start?,"OqHgWp0B2_Gg63tSg_Mf, OaHgWp0B2_Gg63tSg_Mf, AKHgWp0B2_Gg63tSg_Mf, 66HgWp0B2_Gg63tSg_If, _qHgWp0B2_Gg63tSg_If","OqHgWp0B2_Gg63tSg_Mf, OaHgWp0B2_Gg63tSg_Mf",2,2,1.0,0.4,1
Calendar,Easy,When are Spring 2026 final exams?,"8KHgWp0B2_Gg63tSg_If, AqHgWp0B2_Gg63tSg_Mf, QqHgWp0B2_Gg63tSg_Mf, BqHgWp0B2_Gg63tSg_Mf, NKHgWp0B2_Gg63tSg_Mf","8KHgWp0B2_Gg63tSg_If, AqHgWp0B2_Gg63tSg_Mf",2,2,1.0,0.4,1
Calendar,Easy,When is Spring 2026 commencement?,"CKHgWp0B2_Gg63tSg_Mf, B6HgWp0B2_Gg63tSg_Mf, 5KHgWp0B2_Gg63tSg_If, 46HgWp0B2_Gg63tSg_Ie, OqHgWp0B2_Gg63tSg_Mf","CKHgWp0B2_Gg63tSg_Mf, B6HgWp0B2_Gg63tSg_Mf",2,2,1.0,0.4,1
Calendar,Easy,When does Summer 1 2026 start?,"CaHgWp0B2_Gg63tSg_Mf, GKHgWp0B2_Gg63tSg_Mf, HqHgWp0B2_Gg63tSg_Mf, C6HgWp0B2_Gg63tSg_Mf, 4KHgWp0B2_Gg63tSg_Ie",CaHgWp0B2_Gg63tSg_Mf,1,1,1.0,0.2,1
Calendar,Normal,When is the last day to withdraw from a Spring 2026 course?,"5qHgWp0B2_Gg63tSg_If, _aHgWp0B2_Gg63tSg_If, -aHgWp0B2_Gg63tSg_If, _qHgWp0B2_Gg63tSg_If, _6HgWp0B2_Gg63tSg_If","5qHgWp0B2_Gg63tSg_If, _aHgWp0B2_Gg63tSg_If, -aHgWp0B2_Gg63tSg_If, _qHgWp0B2_Gg63tSg_If, _6HgWp0B2_Gg63tSg_If",5,5,1.0,1.0,1
Calendar,Normal,When are Spring 2026 midterm grades due?,"8aHgWp0B2_Gg63tSg_If, 6aHgWp0B2_Gg63tSg_If, NaHgWp0B2_Gg63tSg_Mf, BqHgWp0B2_Gg63tSg_Mf, MaHgWp0B2_Gg63tSg_Mf","8aHgWp0B2_Gg63tSg_If, 6aHgWp0B2_Gg63tSg_If",2,2,1.0,0.4,1
Calendar,Normal,How long is the Spring 2026 final exam period?,"AqHgWp0B2_Gg63tSg_Mf, 8KHgWp0B2_Gg63tSg_If, QqHgWp0B2_Gg63tSg_Mf, NKHgWp0B2_Gg63tSg_Mf, BqHgWp0B2_Gg63tSg_Mf","AqHgWp0B2_Gg63tSg_Mf, 8KHgWp0B2_Gg63tSg_If",2,2,1.0,0.4,1
Calendar,Normal,How long is the Spring 2026 semester?,"AKHgWp0B2_Gg63tSg_Mf, 3qHgWp0B2_Gg63tSg_Ie, 66HgWp0B2_Gg63tSg_If, 4aHgWp0B2_Gg63tSg_Ie, BKHgWp0B2_Gg63tSg_Mf",AKHgWp0B2_Gg63tSg_Mf,1,1,1.0,0.2,1
Calendar,Hard,"If I apply for graduation in Summer 2026 but want to walk in the Spring 2026 ceremony, when do I apply and which ceremony?","D6HgWp0B2_Gg63tSg_Mf, 5KHgWp0B2_Gg63tSg_If, 46HgWp0B2_Gg63tSg_Ie, CKHgWp0B2_Gg63tSg_Mf, B6HgWp0B2_Gg63tSg_Mf","D6HgWp0B2_Gg63tSg_Mf, 5KHgWp0B2_Gg63tSg_If, CKHgWp0B2_Gg63tSg_Mf",3,3,1.0,0.6,1
Calendar,Hard,"If I withdraw from a Spring course on April 10, is that before or after the withdrawal deadline?",,,0,0,0.0,0.0,0
Calendar,Hard,"If the add/drop deadline is January 20 and I register January 21, what happens?","3KHgWp0B2_Gg63tSg_Ie, 3aHgWp0B2_Gg63tSg_Ie, 3qHgWp0B2_Gg63tSg_Ie, XDmvVp0BJUUhSPYmDy1P, 2DmvVp0BJUUhSPYmDy1Q","3KHgWp0B2_Gg63tSg_Ie, 3qHgWp0B2_Gg63tSg_Ie, YDmvVp0BJUUhSPYmEi5F",2,3,0.6667,0.4,1
Calendar,Hard,I have a friend visiting from out of town next week. Are there any days in April when IIT has no classes?,"_qHgWp0B2_Gg63tSg_If, _6HgWp0B2_Gg63tSg_If, _KHgWp0B2_Gg63tSg_If, _aHgWp0B2_Gg63tSg_If, -qHgWp0B2_Gg63tSg_If","_qHgWp0B2_Gg63tSg_If, _6HgWp0B2_Gg63tSg_If",2,2,1.0,0.4,1
Calendar,Hard,My lease ends in May. When exactly do spring semester classes finish?,"AKHgWp0B2_Gg63tSg_Mf, A6HgWp0B2_Gg63tSg_Mf, BKHgWp0B2_Gg63tSg_Mf, C6HgWp0B2_Gg63tSg_Mf, AaHgWp0B2_Gg63tSg_Mf","AKHgWp0B2_Gg63tSg_Mf, A6HgWp0B2_Gg63tSg_Mf, BKHgWp0B2_Gg63tSg_Mf, AaHgWp0B2_Gg63tSg_Mf",4,4,1.0,0.8,1
Calendar,Hard,I have a wedding to attend in late November. Will I miss any class days?,"PaHgWp0B2_Gg63tSg_Mf, MKHgWp0B2_Gg63tSg_Mf, DaHgWp0B2_Gg63tSg_Mf, MqHgWp0B2_Gg63tSg_Mf, 26HgWp0B2_Gg63tSg_Ie","PaHgWp0B2_Gg63tSg_Mf, MqHgWp0B2_Gg63tSg_Mf",2,2,1.0,0.4,1
Contact,Easy,Where is the Registrar's office located?,"HInWSp0B_ztt-jdzsxRF, 74nWSp0B_ztt-jdzrxLT, G4nWSp0B_ztt-jdzsxRF, bInWSp0B_ztt-jdzqxEt, vYnWSp0B_ztt-jdzqw8p","HInWSp0B_ztt-jdzsxRF, uTmvVp0BJUUhSPYmEi5G, -TmvVp0BJUUhSPYmDy1Q",1,3,0.3333,0.2,1
Contact,Easy,What is the fax number for the Department of Physics?,"TonWSp0B_ztt-jdzsxRF, PYnWSp0B_ztt-jdzsxRF, ZYnWSp0B_ztt-jdzqxEt, aonWSp0B_ztt-jdzsxRF, vYnWSp0B_ztt-jdzsxRG",,0,0,0.0,0.0,0
Contact,Easy,How do I contact the Pritzker Institute of Biomedical Science?,"VonWSp0B_ztt-jdzsxRF, TYnWSp0B_ztt-jdzsxRF, QYnWSp0B_ztt-jdzsxVG, SYnWSp0B_ztt-jdzqxAr, WYnWSp0B_ztt-jdzrxLS","VonWSp0B_ztt-jdzsxRF, TYnWSp0B_ztt-jdzsxRF",2,2,1.0,0.4,1
